home_team_form,home_team_goals_scored,home_team_goals_conceded,home_team_wins,home_team_draws,home_team_losses,home_team_first_half_goals,home_team_clean_sheets,home_team_both_scored,home_team_over_25,home_team_last_5_form,home_team_last_5_goals,home_team_win_streak,home_team_unbeaten,home_team_scoring_streak,home_team_form_trend,home_team_goals_trend,home_team_conceded_trend,home_team_last_3_goals_avg,home_team_last_3_conceded_avg,home_team_first_half_dominance,home_team_second_half_dominance,home_team_comebacks,away_team_form,away_team_goals_scored,away_team_goals_conceded,away_team_wins,away_team_draws,away_team_losses,away_team_first_half_goals,away_team_clean_sheets,away_team_both_scored,away_team_over_25,away_team_last_5_form,away_team_last_5_goals,away_team_win_streak,away_team_unbeaten,away_team_scoring_streak,away_team_form_trend,away_team_goals_trend,away_team_conceded_trend,away_team_last_3_goals_avg,away_team_last_3_conceded_avg,away_team_first_half_dominance,away_team_second_half_dominance,away_team_comebacks,result,both_scored,over_25,total_goals,first_half_goals
0.0,2,3,0,0,1,2,0,1,1,0.0,2,0,0,1,0.0,0.0,0.0,2.0,3.0,1,0,0,0.0,1,2,0,0,1,0,0,1,1,0.0,1,0,0,1,0.0,0.0,0.0,1.0,2.0,0,0,0,2,1,1,5,1
50.0,1,1,0,1,0,0,0,1,0,0.0,1,0,1,1,0.0,0.0,0.0,1.0,1.0,0,0,0,0.0,0,1,0,0,1,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,0,0,1,1
100.0,1,0,1,0,0,1,1,0,0,0.0,1,1,1,1,0.0,0.0,0.0,1.0,0.0,1,0,0,50.0,1,1,0,1,0,0,0,1,0,0.0,1,0,1,1,0.0,0.0,0.0,1.0,1.0,0,0,0,2,0,1,3,2
50.0,0,0,0,1,0,0,1,0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,100.0,3,2,1,0,0,0,0,1,1,0.0,3,1,1,1,0.0,0.0,0.0,3.0,2.0,0,1,1,0,1,0,2,0
100.0,2,1,1,0,0,1,0,1,1,0.0,2,1,1,1,0.0,0.0,0.0,2.0,1.0,1,0,0,0.0,2,6,0,0,2,2,0,1,1,0.0,2,0,0,0,0.0,0.0,0.0,1.0,3.0,0,0,0,1,1,1,8,4
100.0,5,2,1,0,0,2,0,1,1,0.0,5,1,1,1,0.0,0.0,0.0,5.0,2.0,1,1,0,0.0,1,3,0,0,1,0,0,1,1,0.0,1,0,0,1,0.0,0.0,0.0,1.0,3.0,0,0,0,2,0,1,3,2
50.0,0,0,0,1,0,0,1,0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,1,2,0,0,1,0,0,1,1,0.0,1,0,0,1,0.0,0.0,0.0,1.0,2.0,0,0,0,1,0,0,1,0
50.0,4,3,1,0,1,2,1,1,2,0.0,4,0,0,2,0.0,0.0,0.0,2.0,1.5,1,1,0,100.0,8,3,2,0,0,3,0,2,2,0.0,8,2,2,2,0.0,0.0,0.0,4.0,1.5,1,1,0,1,1,1,4,2
0.0,0,2,0,0,2,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,0,75.0,1,0,1,1,0,0,2,0,0,0.0,1,0,2,0,0.0,0.0,0.0,0.5,0.0,0,1,0,2,1,1,3,0
50.0,0,0,0,1,0,0,1,0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,100.0,5,2,1,0,0,2,0,1,1,0.0,5,1,1,1,0.0,0.0,0.0,5.0,2.0,0,1,0,0,1,1,6,3
