date,home_team,away_team,home_rank,away_rank,home_points,away_points,home_played,away_played,home_won,away_won,home_drawn,away_drawn,home_lost,away_lost,home_goals_for,away_goals_for,home_goals_against,away_goals_against,result
05.08.2022,İstanbulspor,Trabzonspor,12,6,41,57,36,36,12,17,5,6,19,13,47,64,63,54,A
06.08.2022,Sivasspor,Gazişehir Gaziantep,14,18,41,25,36,36,11,6,8,7,17,23,46,31,54,72,D
06.08.2022,Besiktas,Kayserispor,3,9,78,47,36,36,23,15,9,5,4,16,78,55,36,61,H
07.08.2022,Giresunspor,Adana Demirspor,16,4,40,69,36,36,10,20,10,9,16,7,42,76,60,45,A
07.08.2022,Fatih Karagümrük,Alanyaspor,7,15,51,41,36,36,13,11,12,8,11,17,75,54,63,70,A
07.08.2022,Antalyaspor,Galatasaray,13,1,41,88,36,36,11,28,8,4,17,4,46,83,55,27,A
08.08.2022,Istanbul Basaksehir,Kasimpasa,5,10,62,43,36,36,18,12,8,7,10,17,54,45,37,61,H
08.08.2022,Fenerbahce,Ümraniyespor,2,17,80,30,36,36,25,7,5,9,6,20,87,47,42,64,D
08.08.2022,Ankaragucu,Konyaspor,11,8,42,51,36,36,12,12,6,15,18,9,43,49,53,41,D
12.08.2022,Trabzonspor,Hatayspor,6,19,57,23,36,36,17,6,6,5,13,25,64,19,54,83,H
13.08.2022,Kayserispor,İstanbulspor,9,12,47,41,36,36,15,12,5,5,16,19,55,47,61,63,H
13.08.2022,Galatasaray,Giresunspor,1,16,88,40,36,36,28,10,4,10,4,16,83,42,27,60,A
13.08.2022,Adana Demirspor,Sivasspor,4,14,69,41,36,36,20,11,9,8,7,17,76,46,45,54,H
14.08.2022,Gazişehir Gaziantep,Ankaragucu,18,11,25,42,36,36,6,12,7,6,23,18,31,43,72,53,H
14.08.2022,Ümraniyespor,Antalyaspor,17,13,30,41,36,36,7,11,9,8,20,17,47,46,64,55,A
14.08.2022,Alanyaspor,Besiktas,15,3,41,78,36,36,11,23,8,9,17,4,54,78,70,36,D
15.08.2022,Konyaspor,Istanbul Basaksehir,8,5,51,62,36,36,12,18,15,8,9,10,49,54,41,37,D
15.08.2022,Kasimpasa,Fenerbahce,10,2,43,80,36,36,12,25,7,5,17,6,45,87,61,42,A
19.08.2022,Ümraniyespor,Galatasaray,17,1,30,88,36,36,7,28,9,4,20,4,47,83,64,27,A
20.08.2022,Giresunspor,Kasimpasa,16,10,40,43,36,36,10,12,10,7,16,17,42,45,60,61,H
20.08.2022,Hatayspor,Gazişehir Gaziantep,19,18,23,25,36,36,6,6,5,7,25,23,19,31,83,72,A
20.08.2022,Antalyaspor,Trabzonspor,13,6,41,57,36,36,11,17,8,6,17,13,46,64,55,54,H
21.08.2022,Istanbul Basaksehir,Kayserispor,5,9,62,47,36,36,18,15,8,5,10,16,54,55,37,61,H
21.08.2022,Besiktas,Fatih Karagümrük,3,7,78,51,36,36,23,13,9,12,4,11,78,75,36,63,H
22.08.2022,Sivasspor,Alanyaspor,14,15,41,41,36,36,11,11,8,8,17,17,46,54,54,70,D
22.08.2022,İstanbulspor,Konyaspor,12,8,41,51,36,36,12,12,5,15,19,9,47,49,63,41,A
22.08.2022,Fenerbahce,Adana Demirspor,2,4,80,69,36,36,25,20,5,9,6,7,87,76,42,45,H
26.08.2022,Gazişehir Gaziantep,Antalyaspor,18,13,25,41,36,36,6,11,7,8,23,17,31,46,72,55,H
27.08.2022,Fatih Karagümrük,Ankaragucu,7,11,51,42,36,36,13,12,12,6,11,18,75,43,63,53,H
27.08.2022,Alanyaspor,İstanbulspor,15,12,41,41,36,36,11,12,8,5,17,19,54,47,70,63,A
27.08.2022,Adana Demirspor,Ümraniyespor,4,17,69,30,36,36,20,7,9,9,7,20,76,47,45,64,H
28.08.2022,Kayserispor,Giresunspor,9,16,47,40,36,36,15,10,5,10,16,16,55,42,61,60,H
28.08.2022,Kasimpasa,Hatayspor,10,19,43,23,36,36,12,6,7,5,17,25,45,19,61,83,H
28.08.2022,Trabzonspor,Galatasaray,6,1,57,88,36,36,17,28,6,4,13,4,64,83,54,27,D
29.08.2022,Konyaspor,Fenerbahce,8,2,51,80,36,36,12,25,15,5,9,6,49,87,41,42,H
29.08.2022,Besiktas,Sivasspor,3,14,78,41,36,36,23,11,9,8,4,17,78,46,36,54,H
02.09.2022,Ümraniyespor,Trabzonspor,17,6,30,57,36,36,7,17,9,6,20,13,47,64,64,54,A
03.09.2022,Istanbul Basaksehir,Alanyaspor,5,15,62,41,36,36,18,11,8,8,10,17,54,54,37,70,H
03.09.2022,Sivasspor,Fatih Karagümrük,14,7,41,51,36,36,11,13,8,12,17,11,46,75,54,63,D
03.09.2022,Fenerbahce,Kayserispor,2,9,80,47,36,36,25,15,5,5,6,16,87,55,42,61,H
03.09.2022,Giresunspor,Konyaspor,16,8,40,51,36,36,10,12,10,15,16,9,42,49,60,41,A
04.09.2022,Hatayspor,Adana Demirspor,19,4,23,69,36,36,6,20,5,9,25,7,19,76,83,45,D
04.09.2022,Antalyaspor,Kasimpasa,13,10,41,43,36,36,11,12,8,7,17,17,46,45,55,61,A
04.09.2022,Ankaragucu,Besiktas,11,3,42,78,36,36,12,23,6,9,18,4,43,78,53,36,A
05.09.2022,Galatasaray,Gazişehir Gaziantep,1,18,88,25,36,36,28,6,4,7,4,23,83,31,27,72,H
09.09.2022,Alanyaspor,Ankaragucu,15,11,41,42,36,36,11,12,8,6,17,18,54,43,70,53,H
10.09.2022,Konyaspor,Hatayspor,8,19,51,23,36,36,12,6,15,5,9,25,49,19,41,83,H
10.09.2022,Fatih Karagümrük,Giresunspor,7,16,51,40,36,36,13,10,12,10,11,16,75,42,63,60,D
11.09.2022,Sivasspor,İstanbulspor,14,12,41,41,36,36,11,12,8,5,17,19,46,47,54,63,D
11.09.2022,Kayserispor,Antalyaspor,9,13,47,41,36,36,15,11,5,8,16,17,55,46,61,55,H
11.09.2022,Kasimpasa,Galatasaray,10,1,43,88,36,36,12,28,7,4,17,4,45,83,61,27,A
11.09.2022,Gazişehir Gaziantep,Ümraniyespor,18,17,25,30,36,36,6,7,7,9,23,20,31,47,72,64,D
12.09.2022,Besiktas,Istanbul Basaksehir,3,5,78,62,36,36,23,18,9,8,4,10,78,54,36,37,A
12.09.2022,Adana Demirspor,Trabzonspor,4,6,69,57,36,36,20,17,9,6,7,13,76,64,45,54,H
16.09.2022,Galatasaray,Konyaspor,1,8,88,51,36,36,28,12,4,15,4,9,83,49,27,41,H
16.09.2022,Hatayspor,Kayserispor,19,9,23,47,36,36,6,15,5,5,25,16,19,55,83,61,A
17.09.2022,Ümraniyespor,Kasimpasa,17,10,30,43,36,36,7,12,9,7,20,17,47,45,64,61,A
17.09.2022,Antalyaspor,Adana Demirspor,13,4,41,69,36,36,11,20,8,9,17,7,46,76,55,45,A
17.09.2022,İstanbulspor,Besiktas,12,3,41,78,36,36,12,23,5,9,19,4,47,78,63,36,D
18.09.2022,Istanbul Basaksehir,Fatih Karagümrük,5,7,62,51,36,36,18,13,8,12,10,11,54,75,37,63,D
18.09.2022,Trabzonspor,Gazişehir Gaziantep,6,18,57,25,36,36,17,6,6,7,13,23,64,31,54,72,H
